Mfr Name,Carline,Eng Displ,# Cyl,Transmission,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Air Aspiration Method Desc,Trans Desc,# Gears,Drive Desc,Annual Fuel Cost - Conventional Fuel,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Carline Class Desc,Release Date,Stop/Start System (Engine Management System)  Description,City CO2 Rounded Adjusted,Hwy CO2 Rounded Adjusted
General Motors,CAMARO,6.2,8,Auto(S10),16,26,Naturally Aspirated,Semi-Automatic,10,"2-Wheel Drive, Rear",2750,1,1,Subcompact Cars,5/19/22,No,545,341
General Motors,CAMARO,6.2,8,Manual(M6),16,24,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",2900,1,1,Subcompact Cars,5/19/22,No,563,373
General Motors,CAMARO,6.2,8,Manual(M6),14,20,Supercharged,Manual,6,"2-Wheel Drive, Rear",3400,1,1,Subcompact Cars,5/19/22,No,645,453
Ferrari,Roma,3.9,8,Auto(AM8),17,22,Turbocharged,Automated Manual,8,"2-Wheel Drive, Rear",2900,2,2,Subcompact Cars,7/1/22,Yes,532,398
Ford Motor Company,MUSTANG,2.3,4,Auto(A10),22,32,Turbocharged,Automatic,10,"2-Wheel Drive, Rear",1750,2,2,Subcompact Cars,12/5/22,No,411,276
Ford Motor Company,MUSTANG,2.3,4,Auto(S10),21,31,Turbocharged,Semi-Automatic,10,"2-Wheel Drive, Rear",1850,2,2,Subcompact Cars,12/5/22,No,423,290
Ford Motor Company,MUSTANG,2.3,4,Manual(M6),21,29,Turbocharged,Manual,6,"2-Wheel Drive, Rear",1850,2,2,Subcompact Cars,12/5/22,No,428,302
Ford Motor Company,MUSTANG,5,8,Auto(S10),15,24,Naturally Aspirated,Semi-Automatic,10,"2-Wheel Drive, Rear",2350,2,2,Subcompact Cars,12/5/22,No,575,364
Ford Motor Company,MUSTANG,5,8,Manual(M6),15,24,Naturally Aspirated,Manual,6,"2-Wheel Drive, Rear",2450,2,2,Subcompact Cars,12/5/22,No,601,371
Ford Motor Company,MUSTANG CONVERTIBLE,2.3,4,Auto(A10),20,28,Turbocharged,Automatic,10,"2-Wheel Drive, Rear",1900,2,2,Subcompact Cars,12/5/22,No,446,312
